gen,pop_size,greedy_runs,bottom_k,flips_per_child,extra_random_each_gen,fit_min,fit_med,fit_mean,survivor_fit_min,survivor_fit_mean,ls_confirm_min_bottom20,ls_confirm_mean_bottom20,elapsed_s
0,320,5,200,400,80,0.678000000000,0.751000000000,0.749643750000,0.678000000000,0.735400000000,0.800000000000,0.813500000000,118.41
1,320,5,200,400,80,0.677000000000,0.746000000000,0.748081250000,0.677000000000,0.733465000000,0.800000000000,0.813500000000,116.46
2,320,5,200,400,80,0.679000000000,0.740000000000,0.740878125000,0.679000000000,0.727670000000,0.795000000000,0.816250000000,115.97
3,320,5,200,400,80,0.678000000000,0.735000000000,0.736446875000,0.678000000000,0.723780000000,0.790000000000,0.819500000000,115.88
4,320,5,200,400,80,0.677000000000,0.730000000000,0.733709375000,0.677000000000,0.720820000000,0.790000000000,0.816000000000,115.83
5,320,5,200,400,80,0.678000000000,0.726000000000,0.730025000000,0.678000000000,0.717230000000,0.780000000000,0.815750000000,118.03
6,320,5,200,400,80,0.682000000000,0.720000000000,0.725500000000,0.682000000000,0.714225000000,0.790000000000,0.810750000000,119.65
7,320,5,200,400,80,0.684000000000,0.720000000000,0.722981250000,0.684000000000,0.712215000000,0.785000000000,0.813000000000,120.65
8,320,5,200,400,80,0.677000000000,0.716000000000,0.720946875000,0.677000000000,0.710535000000,0.790000000000,0.816500000000,123.30
9,320,5,200,400,80,0.685000000000,0.714000000000,0.720015625000,0.685000000000,0.708905000000,0.790000000000,0.816250000000,121.00
10,320,5,200,400,80,0.674000000000,0.711000000000,0.717331250000,0.674000000000,0.707395000000,0.780000000000,0.820000000000,119.89
11,320,5,200,400,80,0.684000000000,0.710000000000,0.715625000000,0.684000000000,0.706480000000,0.795000000000,0.819250000000,121.66
12,320,5,200,400,80,0.662000000000,0.709000000000,0.713884375000,0.662000000000,0.705360000000,0.785000000000,0.821250000000,119.89
13,320,5,200,400,80,0.683000000000,0.707000000000,0.713950000000,0.683000000000,0.704490000000,0.800000000000,0.821250000000,122.15
14,320,5,200,400,80,0.681000000000,0.706000000000,0.712015625000,0.681000000000,0.703595000000,0.800000000000,0.826000000000,120.90
15,320,5,200,400,80,0.682000000000,0.706000000000,0.711525000000,0.682000000000,0.703135000000,0.775000000000,0.820750000000,142.87
16,320,5,200,400,80,0.683000000000,0.706000000000,0.712446875000,0.683000000000,0.702545000000,0.810000000000,0.830250000000,127.38
17,320,5,200,400,80,0.679000000000,0.705000000000,0.712290625000,0.679000000000,0.702010000000,0.805000000000,0.828250000000,135.61
18,320,5,200,400,80,0.684000000000,0.705000000000,0.710812500000,0.684000000000,0.701345000000,0.800000000000,0.831000000000,134.25
19,320,5,200,400,80,0.688000000000,0.702000000000,0.709443750000,0.688000000000,0.700280000000,0.810000000000,0.827500000000,129.34
20,320,5,200,400,80,0.695000000000,0.701000000000,0.708840625000,0.695000000000,0.699440000000,0.805000000000,0.829750000000,121.24
21,320,5,200,400,80,0.684000000000,0.701000000000,0.709618750000,0.684000000000,0.699440000000,0.810000000000,0.828250000000,119.38
22,320,5,200,400,80,0.673000000000,0.700000000000,0.709153125000,0.673000000000,0.698745000000,0.800000000000,0.827500000000,122.84
23,320,5,200,400,80,0.638000000000,0.700000000000,0.707606250000,0.638000000000,0.698510000000,0.795000000000,0.827750000000,122.00
24,320,5,200,400,80,0.667000000000,0.700000000000,0.707331250000,0.667000000000,0.698680000000,0.790000000000,0.826250000000,122.22
25,320,5,200,400,80,0.650000000000,0.700000000000,0.707662500000,0.650000000000,0.698575000000,0.785000000000,0.822750000000,123.14
26,320,5,200,400,80,0.651000000000,0.700000000000,0.707609375000,0.651000000000,0.698535000000,0.780000000000,0.821500000000,120.80
27,320,5,200,400,80,0.654000000000,0.700000000000,0.707821875000,0.654000000000,0.698495000000,0.780000000000,0.821500000000,123.33
28,320,5,200,400,80,0.649000000000,0.700000000000,0.708256250000,0.649000000000,0.698825000000,0.775000000000,0.824000000000,124.10
29,320,5,200,400,80,0.664000000000,0.700000000000,0.710093750000,0.664000000000,0.698935000000,0.805000000000,0.827500000000,137.92
30,320,5,200,400,80,0.694000000000,0.700000000000,0.707259375000,0.694000000000,0.699170000000,0.795000000000,0.827750000000,140.99
