idx,n,m,heur_greedy,heur_ls,exact,gap_exact_minus_ls,status,solve_time_sec,graph6
0,30,84,25,25,25,0,OPTIMAL,0.6634,]{mhO_X?WP`DAHAeAYG_@??K??g??W??_??P???Wa@?AG?@C??Bw_NoQ??MG_?`@??CGC???_W
1,30,84,21,23,23,0,OPTIMAL,13.9145,]|\MKD@?W?_J?p?o_WGCB??K?@W?BWC[@Aw@?K?G?_@_A?DoW??d_??A???G_??@@???W[???w
2,30,84,23,25,25,0,OPTIMAL,1.1807,]|cGWCF?WH_B?B?@_?g?B?Ao?@G?SO?OSCG??A???O@_??F@??L@A?C_??A^u???aT^?CKGG_G
3,30,84,23,24,24,0,OPTIMAL,5.2778,]}lzGwH?GB_L?J?R?HGAB??[??w??w??s@@O??SGaO?AG?@?E?AC??A_A??W_??BEK??C?O??w
4,30,84,23,24,24,0,OPTIMAL,5.0462,]{kWWCJIHB_F?LWQG_GAQ?oWB?GC@OC@CE?`D?G??@?_?C@c??C???Cw?CB}???@O???L????g
5,30,84,23,24,24,0,OPTIMAL,3.4550,]|KxXSO?G?_C?@]MO?I?B??K??y??o??v??ic?G?@~???CBC??FC???aC??G@G?B?@_As?@_G?
6,30,84,24,25,25,0,OPTIMAL,0.6545,]|[I]LB?{iA@C@C?_?o_?E?CO?Wo?OO?SK?GA?AGG?@@??DB??BA??@__?@OgV`??BG?C??W_O
7,30,84,24,25,25,0,OPTIMAL,1.1791,]}mZu_@?WaaB?@C@i?I_@O?x@AIA?GB?G?s??@_G?G@_?_B??`K??`?_??kO@?B@???OK?_@?O
8,30,84,23,24,24,0,OPTIMAL,7.3686,]{mWxQP?WB_JcGc?o?[?B_?KOa?@CG@?K?_B???w@?B?C?_C?@@CG?@_???w@?GGEW??B`o???
9,30,84,23,25,25,0,OPTIMAL,0.5422,]~DWw[JPE?w@_A?A_BG?RACGKO?O_WO?KG?GA??gO?C_??R??Ac???c_?@EOO?P?E?A?AOBg?G
10,30,84,22,24,24,0,OPTIMAL,3.1255,]|KxSuPcGBO@?R?BoGs@G_GE?_G@?o?W_?CP?GCO@OA_@?G?B?@?@?P_???w?OAO???QFb????
11,30,84,24,24,24,0,OPTIMAL,5.3903,]{kxgeO_C@oD_H?H_F?@P?CG?We?_E??D??B_C?a?_SE[D@W??@G??@c???i???KO??BD????W
12,30,84,22,24,24,0,OPTIMAL,3.1118,]~D]YMIAgS`PAG??_?W@D_GC?_W_AS??S??Jc??S??Ao??HC??s???S_?NO??B?@E?o_?O?A?G
13,30,84,25,25,25,0,OPTIMAL,1.1728,]~mSijD_I@_B?@?B_@Y?P??G??w??w??d??P??CW??aw?@[_Di@??w???o?O?G?D?@??K?C??W
14,30,84,24,24,24,0,OPTIMAL,2.6953,]~uWgKF?wJ?G?P@O__O?F@?]CAc_?Gc?CO?B??@o??K_?oa?@?D?p?S_??AW???d???CWA?@@?
15,30,84,23,24,24,0,OPTIMAL,2.9922,]}E\LCbJboq?O@C@i?Y?Ko?E??G?GO?Gc?CP??Eo??a_??J?@B_?@@?_??_G???B????]?CC@o
16,30,84,24,24,24,0,OPTIMAL,2.4812,]{kxjD`oS_a@CB?B??g?H?AO?G??OW?OS?GB??B_??W_?@B???F???E_??b?ao??Co??COL{GO
17,30,84,21,24,24,0,OPTIMAL,2.3732,]}CW{iPC\A?`@@@O_Hw?FGB?_CH?GJo?C_?B???w?GE??_P@@?AB??Q_??@WG??EA??ORO????
18,30,84,24,25,25,0,OPTIMAL,0.6776,]~aWO[V@Yd?[?p?o_GoDOA_?AGGCOGC?K?GCOA?MO?@_??dA?BBA??A`??@KO??OA??AE???GO
19,30,84,24,24,24,0,OPTIMAL,3.5153,]~lqiCB@iJ_L?ROQG?G?B?AT?GG??g??s??X??BO??M_??p???bO?L_G??_I??G@O???K??Q@?
20,30,84,24,24,24,0,OPTIMAL,1.9896,]~DWyhKOM?w@o@cAO@GoAA?C?X??oG?_KGp[??PG??G_??B???L??@H_??_g??GH??@BC??C?W
21,30,84,24,25,25,0,OPTIMAL,1.1184,]{EWO]F@WB_L?JgGCCHD@?GK?_X??_S?_A?P?_CG??e??AH???qA??Ob???Wo??@E???Fo?AA_
22,30,84,25,25,25,0,OPTIMAL,0.7484,]{kxJD`GXA_WOPD`g?W?D??K?@g?Ew?AK??FO?gA?C?_?K?O?G@O?G?g?G?q???@s?O?KO@??G
23,30,84,22,23,23,0,OPTIMAL,13.5732,]|KkwKB?k?_@?@?B_?w?U?AC?WG?_W?Cs??B_B?G?KB_?OH_A?C?e??OP??G?O?B????^doAo?
24,30,84,21,24,24,0,OPTIMAL,2.5401,]|[yqTAoI@_C?L_?_A[?b?CK??w?Bc?AaO@???oG?E?_?OB??oAC??K??oAG_G?BCh??CQ???G
25,30,84,25,25,25,0,OPTIMAL,0.9361,]|KxW[JBPO@@A@?@`?Oo@??K??[??_??E??Bc??G_?Ba??HC?CpC??@a???n?W??_@~_E????W
26,30,84,23,25,25,0,OPTIMAL,0.6767,]|kOGKD@_GA`?B@@_`WGB@?M?KC_?K_?C??EC??g_GHa??BC@?AC??A_??@W?WG?pe@?@v_??G
27,30,84,23,24,24,0,OPTIMAL,3.7301,]~uYQD@?W@_@?B?B`?oO@A?KG?W??w??sG?SA@G?Ew?_??B?o?AA_?A@??BgO??BqIk?AG???G
28,30,84,23,24,24,0,OPTIMAL,2.8275,]~CYgkRBaCgPoAOAg?[?S_?c?WO?_k?_eGO@A??G?_E?A?P?C?B?C?@_A??W??EO@c??AW??o?
29,30,84,24,24,24,0,OPTIMAL,4.2676,]{mXOsP?GB_X?f?`_OO`d??KO?O??G??K??B???w??E_??K??@PC?D?A?A?K_?GCw_N_A??AeW
30,30,84,23,24,24,0,OPTIMAL,1.8010,]~sOwsAAgS_C?H?K_AW?bADiGcK_?Gh?K??F?@B??GO_?_B@g?OD??O?_?GG_??A????SS??@W
31,30,84,23,25,25,0,OPTIMAL,0.8211,]{khHC@?XAk@px_?o?K_@C?[?}?@CGKC?AA@??_WGE??_O@??_BB??AB??@G???RC?QAGO???g
32,30,84,22,25,25,0,OPTIMAL,1.1253,]~eWoCRSI@gBoA_A_L?A@??C??w?PW?PC?HA??Uk?A_pWA@_??@_???o???GA@_?a??@yG???G
33,30,84,22,23,23,0,OPTIMAL,8.7002,]|cMPx`OwA_@?B??_@W?p??[?OW??w??[AOC??R???W_?Ge?`oH???H_??Cg]W?CB???C?B?A?
34,30,84,24,25,25,0,OPTIMAL,0.6829,]~uK[ID@OwA@@B?B_?w?F??s?J??K???C?AB???W??@_?OD@?_V@?_?__?WO??Ac???SETSA?_
35,30,84,23,24,24,0,OPTIMAL,3.2154,]~\iqfOCG@oD?B_@_?W?B_?U??w?@G?@C?A`??_W?C@_?OB???M??_S?@O???o?@?C??EOQF@w
36,30,84,21,25,25,0,OPTIMAL,0.5381,]|^W_kT@[IO`ca_A_XOAP?__OAG_?W_?SQ?@?_?WC?@_O@A??AT???S???GG??B@???KC???Pw
37,30,84,24,24,24,0,OPTIMAL,3.2762,]~kxm_@_GB_L_U_KQ?G_@?GW??w?@W?@S??J??AW?@E?CB_??C@?GQ???H?G??OB?W?@?P?OEG
38,30,84,21,23,23,0,OPTIMAL,9.4360,]}lx]`@OY@?C?J?A_@W?T??O??G??W??[??F???w?M???h@??A`?H?`_K?oGB??@_OB?J?HG?G
39,30,84,22,24,24,0,OPTIMAL,3.8307,]~tIWSB@GD_r@`@__oGCBB[?@_G@?WW??G?@A??GO?B_??B???B???I_??EW??@`???DjK?@_?
40,30,84,23,23,23,0,OPTIMAL,11.3997,]~oK[UU_ixADCB@gX??O@??K??w?@S?@EG?@???wO?t_??FA??IA??A????G???R???AkG??Bg
41,30,84,22,24,24,0,OPTIMAL,2.7043,]~qKgkF@gK_UCoDOAGGAB??[??w??w?@W@?o?OCI_A?H_G???OBO??Ag???Y???D????l???EO
42,30,84,20,24,24,0,OPTIMAL,2.3199,]~TYSoH?OB_D?J?I_Co?w?CC??WA?O??S??H?OA_A_?_A@A???F?C?B????w???V???AfJc^_?
43,30,84,24,25,25,0,OPTIMAL,0.8655,]{ligwHCWp_wCPC@a?W_BC`OQ??_?G_?KO?DC??__?O_O@R??AB??@`???oGC?GI??@?VQ????
44,30,84,24,24,24,0,OPTIMAL,3.5979,]{mhGCF?wB_L?U?W?cKG@_O]@?K??\E?I??D??@[??HF???K??@W???y???W_??Dc???I????g
45,30,84,23,24,24,0,OPTIMAL,2.8495,]}CG{ml@WI_MIG]?i?I_@s?B??K??[??QO?@c??K_??a?@C??AP???P_??K_???J???O[??@@G
46,30,84,22,24,24,0,OPTIMAL,3.6834,]}lwwkRsC_q@?@C@a?W_TC?K?KO?Gg?GC??F??@W?GI_?_H???R???B????w???V?@?P??EQ??
47,30,84,24,25,25,0,OPTIMAL,0.5555,]~d]G[F@WL?G?p?@_?w?J?_qA@GC?W??[A?E??R??AG_?GB_@P?a@??_?g?O?A?D??O?KHC?@?
48,30,84,22,25,25,0,OPTIMAL,4.1815,]~DYYCYEG__B?LCHa?G@B??[?@W?AW?ASO_oC?GG?Y??@_@CAOACA??a???W_??B????^R_???
49,30,84,24,25,25,0,OPTIMAL,0.6894,]~uOwkYCgpB@E@b_P?KO@d??S?Gg?GG?K??F??@g??H__?g??@P??@@__@_?G?O???A?KC???w
50,30,84,23,24,24,0,OPTIMAL,4.9531,]}E[\TxAWPi?c???a?W?HC?KOCW_?W_?C??JC?AW_?A_??JC??Q??F???y???B_???S?N?E??_
51,30,84,22,23,23,0,OPTIMAL,9.1029,]{ljIzPcG`aB?D?B_@g?X?BC?CW??w?Gg?Z??AOG?Q?_?GB?E?G?A?G_??CW?O@ACI???O_??G
